"profile","type","file","bytes"
"cib_en","figure","03_ME02_timeline.png",750130
"cib_en","table","03_ME02_descriptive.csv",6713
"cib_en","table","03_ME02_lp_distribution.csv",14562
"cib_en","figure","04_ME04_importance_diverging.png",482580
"cib_en","table","04_ME04_descriptive.csv",5720
"cib_en","table","04_ME04_distribution.csv",20729
"cib_en","figure","05a_ME02_ME04_IQR.png",584546
"cib_en","figure","05b_ME02_ME04_demand_curve.png",128475
"cib_en","table","05_ME02_ME04_property_summary.csv",9626
"cib_en","table","05_ME02_ME04_respondent_spearman.csv",577
"cib_en","table","05_ME02_ME04_spearman_summary.csv",210
"cib_en","table","05_ME02_ME04_demand_curve.csv",413
"cib_en","figure","06a_GE02_distribution.png",227128
"cib_en","figure","06a_GE03_distribution.png",193790
"cib_en","figure","06a_GE04_distribution.png",221940
"cib_en","figure","06b_GE_combined.png",291436
"cib_en","figure","06c_GE_by_group.png",358437
"cib_en","table","06_GE_descriptive.csv",3988
"cib_en","table","06_GE_distribution.csv",18161
"cib_en","table","06_GE_group_descriptive.csv",8057
"cib_en","figure","07_SO02_distribution.png",235954
"cib_en","figure","07_SO03_distribution.png",261087
"cib_en","figure","07_SO04_distribution.png",232150
"cib_en","figure","07_SO05_distribution.png",205912
"cib_en","figure","07_SO06_distribution.png",170281
"cib_en","figure","07_SO_by_group.png",438927
"cib_en","table","07_SO_descriptive.csv",6415
"cib_en","table","07_SO_free_text_recode.csv",1612
"cib_en","table","07_SO_group_assessment.csv",595
"cib_en","table","07_SO_group_descriptive.csv",12498
"cib_en","figure","08a_RN_experience.png",192092
"cib_en","figure","08b_RN_importance.png",200507
"cib_en","figure","08c_RN03_by_group.png",135939
"cib_en","figure","08c_RN04_by_group.png",133983
"cib_en","table","08_RN_descriptive.csv",549
"cib_en","table","08_RN_distribution.csv",2105
"cib_en","table","08_RN_group_assessment.csv",580
"cib_en","table","08_RN_group_descriptive.csv",1015
"cib_en","figure","09a_BE02_role.png",155029
"cib_en","figure","09b_BE07_hp_projects.png",81618
"cib_en","figure","09c_BE08_hp_experience.png",112622
"cib_en","table","09_BE_descriptive.csv",2825
"cib_en","table","09_BE_ordinal_summary.csv",357
"cib_en","table","09_BE_sample_definitions.csv",275
"cib_en","table","09_BE_group_definitions.csv",174
