"var","item_name_de","item_name_en","lp","n","share"
"ME02_01","Funktionsumfang","Range of functions",1,2,0.1
"ME02_01","Funktionsumfang","Range of functions",2,16,0.8
"ME02_01","Funktionsumfang","Range of functions",3,2,0.1
"ME02_02","Typ","Type",1,3,0.142857142857143
"ME02_02","Typ","Type",2,17,0.80952380952381
"ME02_02","Typ","Type",3,1,0.0476190476190476
"ME02_03","Wärmequelle","Heat source",1,4,0.210526315789474
"ME02_03","Wärmequelle","Heat source",2,14,0.736842105263158
"ME02_03","Wärmequelle","Heat source",3,1,0.0526315789473684
"ME02_04","Betriebsweise","Operating mode",1,3,0.166666666666667
"ME02_04","Betriebsweise","Operating mode",2,11,0.611111111111111
"ME02_04","Betriebsweise","Operating mode",3,3,0.166666666666667
"ME02_04","Betriebsweise","Operating mode",5,1,0.0555555555555556
"ME02_05","Zusatzwärme/Energieträger","Backup heat / energy source",2,14,0.736842105263158
"ME02_05","Zusatzwärme/Energieträger","Backup heat / energy source",3,5,0.263157894736842
"ME02_06","Bauart","System design",2,14,0.777777777777778
"ME02_06","Bauart","System design",3,4,0.222222222222222
"ME02_07","Aufstellungsort","Installation location",2,20,1
"ME02_08","Leistungsregelung","Output control",2,4,0.222222222222222
"ME02_08","Leistungsregelung","Output control",3,10,0.555555555555556
"ME02_08","Leistungsregelung","Output control",5,4,0.222222222222222
"ME02_09","Antriebsenergie/Funktionsprinzip","Drive energy / functional principle",1,2,0.111111111111111
"ME02_09","Antriebsenergie/Funktionsprinzip","Drive energy / functional principle",2,7,0.388888888888889
"ME02_09","Antriebsenergie/Funktionsprinzip","Drive energy / functional principle",3,8,0.444444444444444
"ME02_09","Antriebsenergie/Funktionsprinzip","Drive energy / functional principle",5,1,0.0555555555555556
"ME02_10","Nenn-Heizleistung","Nominal heating output",2,11,0.611111111111111
"ME02_10","Nenn-Heizleistung","Nominal heating output",3,6,0.333333333333333
"ME02_10","Nenn-Heizleistung","Nominal heating output",5,1,0.0555555555555556
"ME02_11","Nenn-Kühlleistung","Nominal cooling output",2,5,0.294117647058824
"ME02_11","Nenn-Kühlleistung","Nominal cooling output",3,10,0.588235294117647
"ME02_11","Nenn-Kühlleistung","Nominal cooling output",5,2,0.117647058823529
"ME02_12","Nenn-Leistungszahl (COP)","Nominal coefficient of performance (COP)",2,5,0.294117647058824
"ME02_12","Nenn-Leistungszahl (COP)","Nominal coefficient of performance (COP)",3,8,0.470588235294118
"ME02_12","Nenn-Leistungszahl (COP)","Nominal coefficient of performance (COP)",5,4,0.235294117647059
"ME02_13","Nenn-Leistungszahl Kühlung (EER)","Nominal energy efficiency ratio (EER)",2,8,0.444444444444444
"ME02_13","Nenn-Leistungszahl Kühlung (EER)","Nominal energy efficiency ratio (EER)",3,7,0.388888888888889
"ME02_13","Nenn-Leistungszahl Kühlung (EER)","Nominal energy efficiency ratio (EER)",5,3,0.166666666666667
"ME02_14","Energieeffizienzlabel (ErP-Daten)","Energy efficiency label (ErP data)",2,5,0.294117647058824
"ME02_14","Energieeffizienzlabel (ErP-Daten)","Energy efficiency label (ErP data)",3,3,0.176470588235294
"ME02_14","Energieeffizienzlabel (ErP-Daten)","Energy efficiency label (ErP data)",4,2,0.117647058823529
"ME02_14","Energieeffizienzlabel (ErP-Daten)","Energy efficiency label (ErP data)",5,5,0.294117647058824
"ME02_14","Energieeffizienzlabel (ErP-Daten)","Energy efficiency label (ErP data)",6,2,0.117647058823529
"ME02_15","Elektrische Leistungsaufnahme","Electric power consumption",2,6,0.31578947368421
"ME02_15","Elektrische Leistungsaufnahme","Electric power consumption",3,9,0.473684210526316
"ME02_15","Elektrische Leistungsaufnahme","Electric power consumption",4,1,0.0526315789473684
"ME02_15","Elektrische Leistungsaufnahme","Electric power consumption",5,3,0.157894736842105
"ME02_16","Elektrische Anschlussspanung und Phase","Electrical connection (voltage and phase)",2,7,0.388888888888889
"ME02_16","Elektrische Anschlussspanung und Phase","Electrical connection (voltage and phase)",3,8,0.444444444444444
"ME02_16","Elektrische Anschlussspanung und Phase","Electrical connection (voltage and phase)",5,3,0.166666666666667
"ME02_17","Anlaufstrom","Starting current",2,3,0.166666666666667
"ME02_17","Anlaufstrom","Starting current",3,11,0.611111111111111
"ME02_17","Anlaufstrom","Starting current",5,4,0.222222222222222
"ME02_18","Leistung der elektr. Zusatzheizung (Heizstab)","Output of electric backup heating",2,8,0.444444444444444
"ME02_18","Leistung der elektr. Zusatzheizung (Heizstab)","Output of electric backup heating",3,7,0.388888888888889
"ME02_18","Leistung der elektr. Zusatzheizung (Heizstab)","Output of electric backup heating",5,3,0.166666666666667
"ME02_19","Maximale Vorlauftemperatur im Heizbetrieb","Maximum supply temperature - heating",2,10,0.588235294117647
"ME02_19","Maximale Vorlauftemperatur im Heizbetrieb","Maximum supply temperature - heating",3,5,0.294117647058824
"ME02_19","Maximale Vorlauftemperatur im Heizbetrieb","Maximum supply temperature - heating",5,2,0.117647058823529
"ME02_20","Minimale Vorlauftemperatur im Heizbetrieb","Minimum supply temperature - heating",2,6,0.333333333333333
"ME02_20","Minimale Vorlauftemperatur im Heizbetrieb","Minimum supply temperature - heating",3,10,0.555555555555556
"ME02_20","Minimale Vorlauftemperatur im Heizbetrieb","Minimum supply temperature - heating",5,1,0.0555555555555556
