"var","item_name_de","item_name_en","analysis_population_n","valid_n","coded_missing_n","structural_na_n","median","mean","sd","q1","q3","iqr"
"ME04_01","Funktionsumfang","Range of functions",36,17,1,18,5,5.17647058823529,0.951005659660279,5,6,1
"ME04_02","Typ","Type",36,18,1,17,6,5.77777777777778,0.427792631946499,6,6,0
"ME04_03","Wärmequelle","Heat source",36,16,2,18,6,5.8125,0.403112887414928,6,6,0
"ME04_04","Betriebsweise","Operating mode",36,15,3,18,5,5,1,4,6,2
"ME04_05","Zusatzwärme/Energieträger","Backup heat / energy source",36,16,2,18,5,4.8125,0.543905629069357,4.75,5,0.25
"ME04_06","Bauart","System design",36,17,2,17,5,5.23529411764706,1.03255821656129,5,6,1
"ME04_07","Aufstellungsort","Installation location",36,17,1,18,6,5.64705882352941,0.492592183071889,5,6,1
"ME04_08","Leistungsregelung","Output control",36,15,4,17,5,4.66666666666667,1.11269728052837,4,5,1
"ME04_09","Antriebsenergie/Funktionsprinzip","Drive energy / functional principle",36,16,2,18,5,5,0.894427190999916,4.75,6,1.25
"ME04_10","Nenn-Heizleistung","Nominal heating output",36,15,3,18,6,5.26666666666667,1.03279555898864,4.5,6,1.5
"ME04_11","Nenn-Kühlleistung","Nominal cooling output",36,15,4,17,5,4.66666666666667,0.975900072948533,4,5,1
"ME04_12","Nenn-Leistungszahl (COP)","Nominal coefficient of performance (COP)",36,15,3,18,5,4.8,1.01418510567422,4.5,5,0.5
"ME04_13","Nenn-Leistungszahl Kühlung (EER)","Nominal energy efficiency ratio (EER)",36,15,3,18,5,4.66666666666667,1.11269728052837,4,5.5,1.5
"ME04_14","Energieeffizienzlabel (ErP-Daten)","Energy efficiency label (ErP data)",36,16,2,18,5,4.625,1.02469507659596,4,5,1
"ME04_15","Elektrische Leistungsaufnahme","Electric power consumption",36,16,2,18,5,4.875,1.20415945787923,5,6,1
"ME04_16","Elektrische Anschlussspanung und Phase","Electrical connection (voltage and phase)",36,16,2,18,5,4.4375,1.36473440639562,3.75,5.25,1.5
"ME04_17","Anlaufstrom","Starting current",36,16,3,17,5,4.1875,1.32759180473518,3.75,5,1.25
