"item_name_de","item_name_en","value","n","share","response","share_signed"
"Verdichteranzahl","Number of compressors",1,2,0.133333333333333,"Very unimportant",-0.133333333333333
"Verdichteranzahl","Number of compressors",2,2,0.133333333333333,"Unimportant",-0.133333333333333
"Verdichteranzahl","Number of compressors",3,4,0.266666666666667,"Rather unimportant",-0.266666666666667
"Verdichteranzahl","Number of compressors",4,6,0.4,"Rather important",0.4
"Verdichteranzahl","Number of compressors",5,1,0.0666666666666667,"Important",0.0666666666666667
"Bauart des Kältekreises","Design of refrigerant circuit",2,2,0.133333333333333,"Unimportant",-0.133333333333333
"Bauart des Kältekreises","Design of refrigerant circuit",3,6,0.4,"Rather unimportant",-0.4
"Bauart des Kältekreises","Design of refrigerant circuit",4,2,0.133333333333333,"Rather important",0.133333333333333
"Bauart des Kältekreises","Design of refrigerant circuit",5,5,0.333333333333333,"Important",0.333333333333333
"IP-Schutzart für das Innenteil","IP-protection for indoor unit",1,1,0.0625,"Very unimportant",-0.0625
"IP-Schutzart für das Innenteil","IP-protection for indoor unit",2,1,0.0625,"Unimportant",-0.0625
"IP-Schutzart für das Innenteil","IP-protection for indoor unit",3,5,0.3125,"Rather unimportant",-0.3125
"IP-Schutzart für das Innenteil","IP-protection for indoor unit",4,5,0.3125,"Rather important",0.3125
"IP-Schutzart für das Innenteil","IP-protection for indoor unit",5,3,0.1875,"Important",0.1875
"IP-Schutzart für das Innenteil","IP-protection for indoor unit",6,1,0.0625,"Very important",0.0625
"Maximale Vorlauftemperatur im Kühlbetrieb","Maximum supply temperature - cooling",2,3,0.2,"Unimportant",-0.2
"Maximale Vorlauftemperatur im Kühlbetrieb","Maximum supply temperature - cooling",3,4,0.266666666666667,"Rather unimportant",-0.266666666666667
"Maximale Vorlauftemperatur im Kühlbetrieb","Maximum supply temperature - cooling",4,3,0.2,"Rather important",0.2
"Maximale Vorlauftemperatur im Kühlbetrieb","Maximum supply temperature - cooling",5,4,0.266666666666667,"Important",0.266666666666667
"Maximale Vorlauftemperatur im Kühlbetrieb","Maximum supply temperature - cooling",6,1,0.0666666666666667,"Very important",0.0666666666666667
"IP-Schutzart für das Außenteil","IP-protection for outdoor unit",2,2,0.133333333333333,"Unimportant",-0.133333333333333
"IP-Schutzart für das Außenteil","IP-protection for outdoor unit",3,3,0.2,"Rather unimportant",-0.2
"IP-Schutzart für das Außenteil","IP-protection for outdoor unit",4,6,0.4,"Rather important",0.4
"IP-Schutzart für das Außenteil","IP-protection for outdoor unit",5,4,0.266666666666667,"Important",0.266666666666667
"Integrierter Warmwasserspeicher","Integrated hot water tank",2,2,0.133333333333333,"Unimportant",-0.133333333333333
"Integrierter Warmwasserspeicher","Integrated hot water tank",3,3,0.2,"Rather unimportant",-0.2
"Integrierter Warmwasserspeicher","Integrated hot water tank",4,5,0.333333333333333,"Rather important",0.333333333333333
