"var","item_name_de","item_name_en","mode_zeit","med_zeit","mean_zeit","q25_zeit","q75_zeit","sd_zeit","med_like","mean_like","sd_like","n_zeit","n_like","iqr_zeit","wlo_zeit","whi_zeit","cat_sym","cat_group"
"ME02_01","Funktionsumfang","Range of functions",187.5,184,188,155.25,211.25,53.0134044618112,5,5.17647058823529,0.951005659660279,20,17,56,75,295.25,"◆","Selection criteria"
"ME02_02","Typ","Type",187.5,168,158.666666666667,136,190,67.9384525385538,6,5.77777777777778,0.427792631946499,21,18,54,55,271,"◆","Selection criteria"
"ME02_03","Wärmequelle","Heat source",187.5,170,161.842105263158,148,203,64.2825906602115,6,5.8125,0.403112887414928,19,16,55,65.5,283,"◆","Selection criteria"
"ME02_04","Betriebsweise","Operating mode",187.5,195,214.055555555556,180,240.25,118.916912279725,5,5,1,18,15,60.25,89.625,330.625,"■","Product element data"
"ME02_05","Zusatzwärme/Energieträger","Backup heat / energy source",187.5,200,219.684210526316,180.5,247.5,57.2587233835053,5,4.8125,0.543905629069357,19,16,67,150,334,"◆","Selection criteria"
"ME02_06","Bauart","System design",187.5,205,231,183.25,239,68.2969295666745,5,5.23529411764706,1.03255821656129,18,17,55.75,168,322.625,"◆","Selection criteria"
"ME02_07","Aufstellungsort","Installation location",187.5,188,184.1,170.75,194.75,22.872415010686,6,5.64705882352941,0.492592183071889,20,17,24,134.75,228,"◆","Selection criteria"
"ME02_08","Leistungsregelung","Output control",312.5,313,339.611111111111,273.5,356.25,131.259571702024,5,4.66666666666667,1.11269728052837,18,15,82.75,187,480.375,"◆","Selection criteria"
"ME02_09","Antriebsenergie/Funktionsprinzip","Drive energy / functional principle",312.5,236,249.611111111111,175.75,326.5,113.190177753502,5,5,0.894427190999916,18,16,150.75,68,538,"◆","Selection criteria"
"ME02_10","Nenn-Heizleistung","Nominal heating output",187.5,221,246.555555555556,191.5,275.25,89.6845597716681,6,5.26666666666667,1.03279555898864,18,15,83.75,164,400.875,"■","Product element data"
"ME02_11","Nenn-Kühlleistung","Nominal cooling output",312.5,307,308.470588235294,215,340,106.180929106325,5,4.66666666666667,0.975900072948533,17,15,125,175,527.5,"■","Product element data"
"ME02_12","Nenn-Leistungszahl (COP)","Nominal coefficient of performance (COP)",312.5,295,334.470588235294,244,344,135.147658899007,5,4.8,1.01418510567422,17,15,100,149,494,"■","Product element data"
"ME02_13","Nenn-Leistungszahl Kühlung (EER)","Nominal energy efficiency ratio (EER)",187.5,296.5,310.055555555556,220.5,330.25,126.060430056952,5,4.66666666666667,1.11269728052837,18,15,109.75,173,494.875,"■","Product element data"
"ME02_14","Energieeffizienzlabel (ErP-Daten)","Energy efficiency label (ErP data)",187.5,392,409.235294117647,238,558,176.511872621845,5,4.625,1.02469507659596,17,16,320,184,680,"■","Product element data"
"ME02_15","Elektrische Leistungsaufnahme","Electric power consumption",312.5,320,317.947368421053,228,347.5,129.417701727653,5,4.875,1.20415945787923,19,16,119.5,140,526.75,"■","Product element data"
"ME02_16","Elektrische Anschlussspanung und Phase","Electrical connection (voltage and phase)",312.5,290,309.388888888889,217,335.5,130.854719121398,5,4.4375,1.36473440639562,18,16,118.5,165,513.25,"■","Product element data"
