"item","item_name_de","item_name_en","response","n","total","share","response_f","median_response","midpoint","share_signed"
"RN03","VDI 3805 Erfahrung ","VDI 3805 Experience",1,11,35,0.314285714285714,"1",2,3.5,-0.314285714285714
"RN03","VDI 3805 Erfahrung ","VDI 3805 Experience",2,7,35,0.2,"2",2,3.5,-0.2
"RN03","VDI 3805 Erfahrung ","VDI 3805 Experience",3,6,35,0.171428571428571,"3",2,3.5,-0.171428571428571
"RN03","VDI 3805 Erfahrung ","VDI 3805 Experience",4,7,35,0.2,"4",2,4.5,0.2
"RN03","VDI 3805 Erfahrung ","VDI 3805 Experience",5,4,35,0.114285714285714,"5",2,4.5,0.114285714285714
"RN04","VDI 3805 Wichtigkeit ","VDI 3805 Importance",1,5,33,0.151515151515152,"1",3,3.5,-0.151515151515152
"RN04","VDI 3805 Wichtigkeit ","VDI 3805 Importance",2,4,33,0.121212121212121,"2",3,3.5,-0.121212121212121
"RN04","VDI 3805 Wichtigkeit ","VDI 3805 Importance",3,9,33,0.272727272727273,"3",3,3.5,-0.272727272727273
"RN04","VDI 3805 Wichtigkeit ","VDI 3805 Importance",4,9,33,0.272727272727273,"4",3,4.5,0.272727272727273
"RN04","VDI 3805 Wichtigkeit ","VDI 3805 Importance",5,2,33,0.0606060606060606,"5",3,4.5,0.0606060606060606
"RN04","VDI 3805 Wichtigkeit ","VDI 3805 Importance",6,4,33,0.121212121212121,"6",3,4.5,0.121212121212121
"RN07","ISO 16757 Erfahrung ","ISO 16757 Experience",1,15,20,0.75,"1",1,3.5,-0.75
"RN07","ISO 16757 Erfahrung ","ISO 16757 Experience",2,3,20,0.15,"2",1,3.5,-0.15
"RN07","ISO 16757 Erfahrung ","ISO 16757 Experience",3,1,20,0.05,"3",1,3.5,-0.05
"RN07","ISO 16757 Erfahrung ","ISO 16757 Experience",4,1,20,0.05,"4",1,4.5,0.05
"RN08","ISO 16757 Wichtigkeit ","ISO 16757 Importance",1,5,11,0.454545454545455,"1",2,3.5,-0.454545454545455
"RN08","ISO 16757 Wichtigkeit ","ISO 16757 Importance",2,2,11,0.181818181818182,"2",2,3.5,-0.181818181818182
"RN08","ISO 16757 Wichtigkeit ","ISO 16757 Importance",3,1,11,0.0909090909090909,"3",2,3.5,-0.0909090909090909
"RN08","ISO 16757 Wichtigkeit ","ISO 16757 Importance",4,2,11,0.181818181818182,"4",2,4.5,0.181818181818182
"RN08","ISO 16757 Wichtigkeit ","ISO 16757 Importance",5,1,11,0.0909090909090909,"5",2,4.5,0.0909090909090909
