"CASE","QUESTNNR","MODE","STARTED","BE02","BE03","BE04","BE07","BE08","BE09","GE02_01","GE02_02","GE02_03","GE02_04","GE02_05","GE03_01","GE03_02","GE03_03","GE04_01","GE04_02","GE04_03","GE04_04","GE04_05","ME02_01","ME02_02","ME02_03","ME02_04","ME02_05","ME02_06","ME02_07","ME02_08","ME02_09","ME02_10","ME02_11","ME02_12","ME02_13","ME02_14","ME02_15","ME02_16","ME02_17","ME02_18","ME02_19","ME02_20","ME02_21","ME02_22","ME02_23","ME02_24","ME02_25","ME02_26","ME02_27","ME02_28","ME02_29","ME02_30","ME02_31","ME02_32","ME02_33","ME02_34","ME02_35","ME02_36","ME02_37","ME02_38","ME02_39","ME02_40","ME02_41","ME02_42","ME02_43","ME02_44","ME02_45","ME02_46","ME04_01","ME04_02","ME04_03","ME04_04","ME04_05","ME04_06","ME04_07","ME04_08","ME04_09","ME04_10","ME04_11","ME04_12","ME04_13","ME04_14","ME04_15","ME04_16","ME04_17","ME04_18","ME04_19","ME04_20","ME04_21","ME04_22","ME04_23","ME04_24","ME04_25","ME04_26","ME04_27","ME04_28","ME04_29","ME04_30","ME04_31","ME04_32","ME04_33","ME04_34","ME04_35","ME04_36","ME04_37","ME04_38","ME04_39","ME04_40","ME04_41","ME04_42","ME04_43","ME04_44","ME04_45","ME04_46","RN03","RN04","RN05_01","RN07","RN08","RN09_01","SD04","SD05_01","SD06_01","SO02","SO02_01","SO02_02","SO02_03","SO02_04","SO02_05","SO02_06","SO02_07","SO02_08","SO02_09","SO02_10","SO02_11","SO02_12","SO02_13","SO02_14","SO02_15","SO02_16","SO02_17","SO02_18","SO02_19","SO02_20","SO02_20a","SO03","SO03_01","SO03_02","SO03_03","SO03_04","SO03_05","SO03_06","SO03_07","SO03_08","SO03_09","SO03_10","SO03_11","SO03_12","SO03_13","SO03_14","SO03_15","SO03_15a","SO04","SO04_01","SO04_02","SO04_03","SO04_04","SO04_05","SO04_06","SO04_07","SO04_08","SO04_09","SO04_10","SO04_11","SO04_12","SO05","SO05_01","SO05_02","SO05_03","SO05_04","SO05_05","SO05_06","SO05_07","SO05_08","SO06","SO06_01","SO06_02","SO06_03","SO06_04","SO06_05","SO06_06","SO06_07","SO06_08","SO06_09","SO06_09a","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME_SUM","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
"1011","iso16757_umfrage","interview","2026-04-14 08:22:25","3","7","3","4","5","","","","","","","","","","","","","","","75","","","","","","","","","","","","313","","346","","","","","","","323","","","","","","","","","","","","212","","","","","","","","","","","334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","7","","2","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","2","4","18","1913","8","43","28","4","79","","","","","","","","","","","","","","","","","","","214","2026-04-14 08:57:39","","F","F","10","10","11","2","1.37"
"1012","iso16757_umfrage","interview","2026-04-14 10:18:04","3","6","3","2","5","","","","","","","","","","","","","","","","-9","","","","-9","","-9","","","","","","","","","","","","","","","","","","","","","","-9","","","","","","","-9","","","","","","","","","-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","5","","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","2","2","45","13","10","42","22","13","17","","","","","","","","","","","","","","","","","","","183","2026-04-14 10:21:07","","F","F","10","10","42","34","1.31"
"1014","iso16757_umfrage","interview","2026-04-17 07:26:48","6","5","5","4","4","","5","5","6","3","3","5","3","6","6","6","6","6","6","241","168","170","255","184","240","188","620","192","248","264","149","236","680","320","217","361","359","239","874","362","260","344","278","322","313","623","323","246","640","272","366","364","318","967","891","612","181","178","608","333","617","578","609","616","613","5","6","6","6","4","6","6","4","4","6","6","6","6","6","6","5","5","3","6","3","3","3","5","5","6","6","5","5","6","3","5","5","3","6","3","3","3","6","6","6","3","3","3","3","3","3","4","6","","1","-1","","1","","","5","F","F","F","T","F","F","F","F","T","T","T","F","T","F","F","F","F","F","F","F","","2","F","F","T","F","F","F","T","F","F","F","F","F","F","F","F","","4","T","F","F","F","F","F","F","T","T","T","F","F","2","T","F","T","F","F","F","F","F","1","T","F","F","F","F","F","F","F","F","","35","40","184","17","8","6","27","14","22","259","4","146","14","","","1","21","15","14","2","15","23","16","22","5","15","8","2","723","2026-04-17 07:42:24","complete","T","F","28","28","7","0","1.34"
"1017","iso16757_umfrage","interview","2026-04-20 13:17:24","11","5","4","2","2","","4","2","6","3","2","3","4","3","6","6","6","6","6","218","208","214","-9","-9","-9","170","-9","-9","-9","-9","-9","-9","362","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","191","309","271","279","-9","-9","-9","193","211","-9","-9","-9","-9","-9","-9","-9","6","6","5","-1","-1","-1","5","-1","-1","-1","-1","-1","-1","5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","5","6","5","-1","-1","-1","6","5","-1","-1","-1","-1","-1","-1","-1","1","3","","1","3","","1","","","1","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","","5","T","F","F","T","F","F","F","F","F","T","T","F","F","F","T","BIMcollab Nexus, Newforma Project Center","5","T","F","F","T","T","F","F","F","T","T","F","F","1","F","F","F","F","F","F","T","F","3","T","F","F","T","F","T","F","F","F","","24","10","123","75","28","14","87","32","13296","330","21","165","19","","","56039","162","21","28","16","86","162","35","114","9","20","12","7","1313","2026-04-21 08:59:39","complete","T","F","28","28","33","26","0.5"
"1019","iso16757_umfrage","interview","2026-04-21 12:07:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","","-9","-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","3","16","14","10","","","","","","","","","","","","","","","","","","","","","","","","56","2026-04-21 12:07:56","","F","F","5","5","67","53","1.15"
"1041","iso16757_umfrage","interview","2026-04-28 11:00:11","5","1","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","Die Datenschnittstelle funktioniert nur eingeschränkt. Bei der kleinsetn Abweichung werden keine Daten eingelesen.","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","4","11","63","9698","5","41","24","","","","","","","","","","","","","","","","","","","","","170","2026-04-28 13:44:26","","F","F","8","8","8","1","0.73"
"1044","iso16757_umfrage","interview","2026-04-28 15:07:08","3","4","4","4","2","","","","","","","","","","","","","","","208","136","283","85","180","236","146","265","339","201","-9","303","332","395","222","165","366","301","242","276","210","178","217","136","372","151","240","136","151","152","189","353","300","345","168","240","371","150","-9","263","182","364","337","514","364","527","","6","","","","","","-9","","","-9","","","","","","-9","","","","","-9","","","","","","","","","","","","","-9","","","","","","","","","","","","2","5","Mein Wunsch war immer die VDI 3805 weitestgehend zu nutzen. DIe NUtzung ist nach meinem Empfinden nicht ausreichend intuitiv. Es scheitert an der Teilnahme aller Firmen, oder der umständlichen zugänglichkeit durch die Programme, die wir nutzen.
","1","-1","Bis dato ist mir die Norm nicht unterkommen.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","8","113","223","3","40","9","18","360","5","4141","","","","","","","","","","","","","","","","","754","2026-04-28 15:20:31","","F","F","12","12","11","11","1.12"
"1046","iso16757_umfrage","interview","2026-04-28 19:16:05","6","4","4","4","4","","6","5","4","2","1","5","3","1","6","6","6","6","6","195","176","208","207","319","182","189","190","334","302","307","307","325","186","349","346","559","353","336","333","330","310","195","197","335","211","577","197","176","320","314","202","204","220","597","567","338","220","338","573","192","548","343","342","313","538","6","5","6","4","4","4","6","4","6","4","5","5","6","5","3","3","3","3","3","4","3","5","4","4","4","5","4","6","5","2","4","2","5","5","3","2","3","6","6","4","4","4","5","6","4","4","3","5","","1","-1","","1","","","2","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","T","GStarCAD","3","T","T","F","F","F","F","F","F","F","F","F","F","F","F","T","BIMcollab","5","T","F","F","T","T","F","F","F","T","T","F","F","2","T","F","F","T","F","F","F","F","4","T","T","F","T","F","F","T","F","F","","12","4","14","14","11","2","26","11","25","234","9","184","1","","","9","19","9","15","1","22","25","20","24","3","10","7","2","713","2026-04-28 19:27:59","complete","T","F","28","28","7","0","1.46"
"1049","iso16757_umfrage","interview","2026-04-29 16:44:34","16","1","3","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","1","-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","6","11","16","7","2","38","14","2","","","","","","","","","","","","","","","","","","","","101","2026-04-29 16:46:15","","F","F","9","9","23","10","1.59"
"1051","iso16757_umfrage","interview","2026-04-30 15:19:06","5","1","1","4","3","","5","5","4","3","2","6","6","6","6","6","6","6","5","312","190","198","191","313","189","180","319","68","191","338","344","173","558","326","176","338","323","180","191","293","568","215","177","293","192","322","191","183","-9","307","319","340","194","564","325","299","191","311","559","185","556","554","177","340","344","5","6","6","5","5","6","6","6","5","5","5","5","4","3","6","5","5","6","6","6","6","5","6","6","5","6","4","6","4","4","6","4","5","6","3","5","3","5","6","6","5","5","5","5","5","5","5","2","Meistens funktioniert das Einlesen der Daten nicht.","1","1","","1","","","1","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","Briscad","1","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","","4","T","F","T","T","T","F","F","F","F","F","F","F","1","F","F","F","F","F","F","T","F","5","T","T","T","T","F","F","T","F","F","","7","4","3","39","9","2","26","15","2","252","3","1275","40","","","13","223","11","18","5","23","26","16","26","6","18","10","3","1888","2026-04-30 15:53:41","complete","T","F","28","28","7","1","1.27"
