"respondent_id","valid_pairs","spearman_rho"
1,0,
2,0,
3,46,0.625761008464928
4,11,0.119522860933439
5,0,
6,1,
7,46,0.409523351505985
8,0,
9,45,0.232108512814168
10,0,
11,46,0.185165354667235
12,46,0.433314819163052
13,0,
14,46,0.491672597366418
15,0,
16,45,0.483824056506375
17,0,
18,46,0.276359260356347
19,46,0.426938619023422
20,43,0.489286453270613
21,46,0.522590242379355
22,0,
23,21,0.149553804102164
24,46,0.463522413817686
25,6,0
26,6,-0.0308606699924184
27,0,
28,0,
29,0,
30,0,
31,46,0.385734804216884
32,44,0.400525979955347
33,0,
34,6,0.621059003408119
35,0,
36,0,
