"block","item","item_name_de","item_name_en","response","n","total","share","response_f","median_response","share_signed"
"GE02","GE02_01","Detaillierungsgrad (LOG) Likert: Einfache Symboldarstellung 2D‑Symbole, die nur die Hauptfunktion wiedergeben (z. B. Symbol unterscheidet Heizkörper und. Wärmeerzeuger).","Simple 2D symbol (main function only)",1,1,23,0.0434782608695652,"1",5,-0.0434782608695652
"GE02","GE02_01","Detaillierungsgrad (LOG) Likert: Einfache Symboldarstellung 2D‑Symbole, die nur die Hauptfunktion wiedergeben (z. B. Symbol unterscheidet Heizkörper und. Wärmeerzeuger).","Simple 2D symbol (main function only)",3,2,23,0.0869565217391304,"3",5,-0.0869565217391304
"GE02","GE02_01","Detaillierungsgrad (LOG) Likert: Einfache Symboldarstellung 2D‑Symbole, die nur die Hauptfunktion wiedergeben (z. B. Symbol unterscheidet Heizkörper und. Wärmeerzeuger).","Simple 2D symbol (main function only)",4,3,23,0.130434782608696,"4",5,0.130434782608696
"GE02","GE02_01","Detaillierungsgrad (LOG) Likert: Einfache Symboldarstellung 2D‑Symbole, die nur die Hauptfunktion wiedergeben (z. B. Symbol unterscheidet Heizkörper und. Wärmeerzeuger).","Simple 2D symbol (main function only)",5,7,23,0.304347826086957,"5",5,0.304347826086957
"GE02","GE02_01","Detaillierungsgrad (LOG) Likert: Einfache Symboldarstellung 2D‑Symbole, die nur die Hauptfunktion wiedergeben (z. B. Symbol unterscheidet Heizkörper und. Wärmeerzeuger).","Simple 2D symbol (main function only)",6,10,23,0.434782608695652,"6",5,0.434782608695652
"GE02","GE02_02","Detaillierungsgrad (LOG) Likert: Detaillierte Symboldarstellung 2D‑Symbole, die wichtige Unterfunktionen darstellen (z. B. Ventilsymbol mit erkennbarer Bauart/Funktion).","Detailed 2D symbol (sub-functions visible)",1,1,23,0.0434782608695652,"1",5,-0.0434782608695652
"GE02","GE02_02","Detaillierungsgrad (LOG) Likert: Detaillierte Symboldarstellung 2D‑Symbole, die wichtige Unterfunktionen darstellen (z. B. Ventilsymbol mit erkennbarer Bauart/Funktion).","Detailed 2D symbol (sub-functions visible)",2,2,23,0.0869565217391304,"2",5,-0.0869565217391304
"GE02","GE02_02","Detaillierungsgrad (LOG) Likert: Detaillierte Symboldarstellung 2D‑Symbole, die wichtige Unterfunktionen darstellen (z. B. Ventilsymbol mit erkennbarer Bauart/Funktion).","Detailed 2D symbol (sub-functions visible)",3,2,23,0.0869565217391304,"3",5,-0.0869565217391304
"GE02","GE02_02","Detaillierungsgrad (LOG) Likert: Detaillierte Symboldarstellung 2D‑Symbole, die wichtige Unterfunktionen darstellen (z. B. Ventilsymbol mit erkennbarer Bauart/Funktion).","Detailed 2D symbol (sub-functions visible)",4,6,23,0.260869565217391,"4",5,0.260869565217391
"GE02","GE02_02","Detaillierungsgrad (LOG) Likert: Detaillierte Symboldarstellung 2D‑Symbole, die wichtige Unterfunktionen darstellen (z. B. Ventilsymbol mit erkennbarer Bauart/Funktion).","Detailed 2D symbol (sub-functions visible)",5,10,23,0.434782608695652,"5",5,0.434782608695652
"GE02","GE02_02","Detaillierungsgrad (LOG) Likert: Detaillierte Symboldarstellung 2D‑Symbole, die wichtige Unterfunktionen darstellen (z. B. Ventilsymbol mit erkennbarer Bauart/Funktion).","Detailed 2D symbol (sub-functions visible)",6,2,23,0.0869565217391304,"6",5,0.0869565217391304
"GE02","GE02_03","Detaillierungsgrad (LOG) Likert: Einfache 3D‑Geometrie Grober Körper, der die Maße ungefähr abbildet und die Produktgruppe erkennen lässt (z. B. Heizkörper oder Wärmeerzeuger). Optimiert für gute CAD‑Performance.","Simple 3D body (product class and dimensions)",2,1,24,0.0416666666666667,"2",5,-0.0416666666666667
"GE02","GE02_03","Detaillierungsgrad (LOG) Likert: Einfache 3D‑Geometrie Grober Körper, der die Maße ungefähr abbildet und die Produktgruppe erkennen lässt (z. B. Heizkörper oder Wärmeerzeuger). Optimiert für gute CAD‑Performance.","Simple 3D body (product class and dimensions)",3,1,24,0.0416666666666667,"3",5,-0.0416666666666667
"GE02","GE02_03","Detaillierungsgrad (LOG) Likert: Einfache 3D‑Geometrie Grober Körper, der die Maße ungefähr abbildet und die Produktgruppe erkennen lässt (z. B. Heizkörper oder Wärmeerzeuger). Optimiert für gute CAD‑Performance.","Simple 3D body (product class and dimensions)",4,3,24,0.125,"4",5,0.125
"GE02","GE02_03","Detaillierungsgrad (LOG) Likert: Einfache 3D‑Geometrie Grober Körper, der die Maße ungefähr abbildet und die Produktgruppe erkennen lässt (z. B. Heizkörper oder Wärmeerzeuger). Optimiert für gute CAD‑Performance.","Simple 3D body (product class and dimensions)",5,9,24,0.375,"5",5,0.375
"GE02","GE02_03","Detaillierungsgrad (LOG) Likert: Einfache 3D‑Geometrie Grober Körper, der die Maße ungefähr abbildet und die Produktgruppe erkennen lässt (z. B. Heizkörper oder Wärmeerzeuger). Optimiert für gute CAD‑Performance.","Simple 3D body (product class and dimensions)",6,10,24,0.416666666666667,"6",5,0.416666666666667
"GE02","GE02_04","Detaillierungsgrad (LOG) Likert: Detaillierte 3D‑Geometrie Zeigt wesentliche geometrische Unterschiede verschiedener Hersteller und ermöglicht die genaue Unterscheidung von Produkten. Montagerichtung ist erkennbar.","Detailed 3D body (product-specific geometry)",2,3,23,0.130434782608696,"2",4,-0.130434782608696
"GE02","GE02_04","Detaillierungsgrad (LOG) Likert: Detaillierte 3D‑Geometrie Zeigt wesentliche geometrische Unterschiede verschiedener Hersteller und ermöglicht die genaue Unterscheidung von Produkten. Montagerichtung ist erkennbar.","Detailed 3D body (product-specific geometry)",3,8,23,0.347826086956522,"3",4,-0.347826086956522
"GE02","GE02_04","Detaillierungsgrad (LOG) Likert: Detaillierte 3D‑Geometrie Zeigt wesentliche geometrische Unterschiede verschiedener Hersteller und ermöglicht die genaue Unterscheidung von Produkten. Montagerichtung ist erkennbar.","Detailed 3D body (product-specific geometry)",4,6,23,0.260869565217391,"4",4,0.260869565217391
"GE02","GE02_04","Detaillierungsgrad (LOG) Likert: Detaillierte 3D‑Geometrie Zeigt wesentliche geometrische Unterschiede verschiedener Hersteller und ermöglicht die genaue Unterscheidung von Produkten. Montagerichtung ist erkennbar.","Detailed 3D body (product-specific geometry)",5,5,23,0.217391304347826,"5",4,0.217391304347826
"GE02","GE02_04","Detaillierungsgrad (LOG) Likert: Detaillierte 3D‑Geometrie Zeigt wesentliche geometrische Unterschiede verschiedener Hersteller und ermöglicht die genaue Unterscheidung von Produkten. Montagerichtung ist erkennbar.","Detailed 3D body (product-specific geometry)",6,1,23,0.0434782608695652,"6",4,0.0434782608695652
"GE02","GE02_05","Detaillierungsgrad (LOG) Likert: Hoch detaillierte 3D‑Geometrie Bildet fast alle geometrischen Merkmale sowie Farben und Oberflächentexturen ab. Ermöglicht realistische Visualisierungen.","Highly detailed 3D body (incl. textures and colours)",1,5,23,0.217391304347826,"1",3,-0.217391304347826
"GE02","GE02_05","Detaillierungsgrad (LOG) Likert: Hoch detaillierte 3D‑Geometrie Bildet fast alle geometrischen Merkmale sowie Farben und Oberflächentexturen ab. Ermöglicht realistische Visualisierungen.","Highly detailed 3D body (incl. textures and colours)",2,6,23,0.260869565217391,"2",3,-0.260869565217391
"GE02","GE02_05","Detaillierungsgrad (LOG) Likert: Hoch detaillierte 3D‑Geometrie Bildet fast alle geometrischen Merkmale sowie Farben und Oberflächentexturen ab. Ermöglicht realistische Visualisierungen.","Highly detailed 3D body (incl. textures and colours)",3,9,23,0.391304347826087,"3",3,-0.391304347826087
"GE02","GE02_05","Detaillierungsgrad (LOG) Likert: Hoch detaillierte 3D‑Geometrie Bildet fast alle geometrischen Merkmale sowie Farben und Oberflächentexturen ab. Ermöglicht realistische Visualisierungen.","Highly detailed 3D body (incl. textures and colours)",4,1,23,0.0434782608695652,"4",3,0.0434782608695652
"GE02","GE02_05","Detaillierungsgrad (LOG) Likert: Hoch detaillierte 3D‑Geometrie Bildet fast alle geometrischen Merkmale sowie Farben und Oberflächentexturen ab. Ermöglicht realistische Visualisierungen.","Highly detailed 3D body (incl. textures and colours)",5,2,23,0.0869565217391304,"5",3,0.0869565217391304
"GE03","GE03_01","Anschlussgeometrien Likert: Medienanschlüsse Anschlüsse für Medientransport (z. B. Gas/Flüssigkeit) zu Rohren, Kanälen, Ventilen, Armaturen usw.","Media connections (e.g. water pipes or air ducts)",2,2,24,0.0833333333333333,"2",5,-0.0833333333333333
"GE03","GE03_01","Anschlussgeometrien Likert: Medienanschlüsse Anschlüsse für Medientransport (z. B. Gas/Flüssigkeit) zu Rohren, Kanälen, Ventilen, Armaturen usw.","Media connections (e.g. water pipes or air ducts)",3,3,24,0.125,"3",5,-0.125
"GE03","GE03_01","Anschlussgeometrien Likert: Medienanschlüsse Anschlüsse für Medientransport (z. B. Gas/Flüssigkeit) zu Rohren, Kanälen, Ventilen, Armaturen usw.","Media connections (e.g. water pipes or air ducts)",4,3,24,0.125,"4",5,0.125
"GE03","GE03_01","Anschlussgeometrien Likert: Medienanschlüsse Anschlüsse für Medientransport (z. B. Gas/Flüssigkeit) zu Rohren, Kanälen, Ventilen, Armaturen usw.","Media connections (e.g. water pipes or air ducts)",5,9,24,0.375,"5",5,0.375
"GE03","GE03_01","Anschlussgeometrien Likert: Medienanschlüsse Anschlüsse für Medientransport (z. B. Gas/Flüssigkeit) zu Rohren, Kanälen, Ventilen, Armaturen usw.","Media connections (e.g. water pipes or air ducts)",6,7,24,0.291666666666667,"6",5,0.291666666666667
"GE03","GE03_02","Anschlussgeometrien Likert: Befestigungsanschlüsse Mittel zur Befestigung des Produkts an Zubehör, Wänden, Decken, Böden usw.","Mounting connections (to walls/ceilings/floors)",2,1,23,0.0434782608695652,"2",4,-0.0434782608695652
"GE03","GE03_02","Anschlussgeometrien Likert: Befestigungsanschlüsse Mittel zur Befestigung des Produkts an Zubehör, Wänden, Decken, Böden usw.","Mounting connections (to walls/ceilings/floors)",3,10,23,0.434782608695652,"3",4,-0.434782608695652
"GE03","GE03_02","Anschlussgeometrien Likert: Befestigungsanschlüsse Mittel zur Befestigung des Produkts an Zubehör, Wänden, Decken, Böden usw.","Mounting connections (to walls/ceilings/floors)",4,5,23,0.217391304347826,"4",4,0.217391304347826
"GE03","GE03_02","Anschlussgeometrien Likert: Befestigungsanschlüsse Mittel zur Befestigung des Produkts an Zubehör, Wänden, Decken, Böden usw.","Mounting connections (to walls/ceilings/floors)",5,3,23,0.130434782608696,"5",4,0.130434782608696
"GE03","GE03_02","Anschlussgeometrien Likert: Befestigungsanschlüsse Mittel zur Befestigung des Produkts an Zubehör, Wänden, Decken, Böden usw.","Mounting connections (to walls/ceilings/floors)",6,4,23,0.173913043478261,"6",4,0.173913043478261
"GE03","GE03_03","Anschlussgeometrien Likert: Anschlüsse für Regel- und Steuersignale","Data connections (ports for control signals)",1,2,23,0.0869565217391304,"1",3,-0.0869565217391304
"GE03","GE03_03","Anschlussgeometrien Likert: Anschlüsse für Regel- und Steuersignale","Data connections (ports for control signals)",2,2,23,0.0869565217391304,"2",3,-0.0869565217391304
"GE03","GE03_03","Anschlussgeometrien Likert: Anschlüsse für Regel- und Steuersignale","Data connections (ports for control signals)",3,9,23,0.391304347826087,"3",3,-0.391304347826087
"GE03","GE03_03","Anschlussgeometrien Likert: Anschlüsse für Regel- und Steuersignale","Data connections (ports for control signals)",4,3,23,0.130434782608696,"4",3,0.130434782608696
"GE03","GE03_03","Anschlussgeometrien Likert: Anschlüsse für Regel- und Steuersignale","Data connections (ports for control signals)",5,2,23,0.0869565217391304,"5",3,0.0869565217391304
"GE03","GE03_03","Anschlussgeometrien Likert: Anschlüsse für Regel- und Steuersignale","Data connections (ports for control signals)",6,5,23,0.217391304347826,"6",3,0.217391304347826
"GE04","GE04_01","Produkträume Likert: Bedienungsraum Mindestens erforderlicher Raum für Betrieb und vorschriftsmäßige Funktion, inklusive Bereichen zum Öffnen von Türen, Klappen oder Abdeckungen.","Operating space (doors and covers)",3,1,23,0.0434782608695652,"3",6,-0.0434782608695652
"GE04","GE04_01","Produkträume Likert: Bedienungsraum Mindestens erforderlicher Raum für Betrieb und vorschriftsmäßige Funktion, inklusive Bereichen zum Öffnen von Türen, Klappen oder Abdeckungen.","Operating space (doors and covers)",4,5,23,0.217391304347826,"4",6,0.217391304347826
"GE04","GE04_01","Produkträume Likert: Bedienungsraum Mindestens erforderlicher Raum für Betrieb und vorschriftsmäßige Funktion, inklusive Bereichen zum Öffnen von Türen, Klappen oder Abdeckungen.","Operating space (doors and covers)",5,5,23,0.217391304347826,"5",6,0.217391304347826
