"block","raw_response","normalized_variable","normalized_item_de","normalized_item_en","action"
"SO02","GStarCAD","SO02_open_gstarcad","GstarCAD","GstarCAD","Added as regular option"
"SO02","Briscad","SO02_open_bricscad","BricsCAD","BricsCAD","Added as regular option"
"SO02","DDS-CAD","SO02_17","Graphisoft DDScad","Graphisoft DDScad","Merged into existing option"
"SO03","BIMcollab Nexus, Newforma Project Center","SO03_open_bimcollab","BIMcollab","BIMcollab","Added as regular option"
"SO03","BIMcollab Nexus, Newforma Project Center","SO03_open_newforma","Newforma Project Center","Newforma Project Center","Added as regular option"
"SO03","BIMcollab","SO03_open_bimcollab","BIMcollab","BIMcollab","Added as regular option"
"SO03","Eigene Cloud auf eigenen Servern","SO03_02","Cloudspeicher (Dropbox, Nextcloud, WeTransfer etc.)","Cloud storage (Dropbox, Nextcloud, WeTransfer, etc.)","Merged into existing option"
"SO03","eplass","SO03_open_eplass","eplass","eplass","Added as regular option"
"SO03","TeamBeam","SO03_open_teambeam","TeamBeam","TeamBeam","Added as regular option"
"SO03","diverse - wird vom Bauherr vorgegeben","SO03_open_client_choice","Verschiedene Plattformen (vom Bauherrn vorgegeben)","Various platforms (specified by client)","Added as regular option"
"SO03","PlanFred","SO03_open_planfred","PlanFred","PlanFred","Added as regular option"
"SO06","Ausschreibungstexte im GAEB-Format","SO06_open_gaeb","Ausschreibungstexte im GAEB-Format","Tender texts in GAEB format","Added as regular option"
"SO06","stp-Dateien","SO06_open_step","STEP-Dateien","STEP files","Added as regular option"
