"block","variable","item_name_de","item_name_en","group","n_valid","n_selected","pct"
"SO02","SO02_01","Autodesk AutoCAD","Autodesk AutoCAD","Architecture",8,3,37.5
"SO02","SO02_02","McNeel Rhinoceros 3D","McNeel Rhinoceros 3D","Architecture",8,1,12.5
"SO02","SO02_03","Trimble SketchUp","Trimble SketchUp","Architecture",8,0,0
"SO02","SO02_04","Autodesk Revit","Autodesk Revit","Architecture",8,6,75
"SO02","SO02_05","Graphisoft ArchiCAD","Graphisoft ArchiCAD","Architecture",8,2,25
"SO02","SO02_06","Nemetschek Allplan","Nemetschek Allplan","Architecture",8,1,12.5
"SO02","SO02_07","Vectorworks","Vectorworks","Architecture",8,0,0
"SO02","SO02_08","Trimble Nova (vorm. Plancal)","Trimble Nova (formerly Plancal)","Architecture",8,0,0
"SO02","SO02_09","LINEAR + AutoCAD","LINEAR + AutoCAD","Architecture",8,0,0
"SO02","SO02_10","LINEAR + Revit","LINEAR + Revit","Architecture",8,0,0
"SO02","SO02_11","SOLAR-COMPUTER","SOLAR-COMPUTER","Architecture",8,0,0
"SO02","SO02_12","SOLAR-COMPUTER, GBIS + AutoCAD","SOLAR-COMPUTER, GBIS + AutoCAD","Architecture",8,0,0
"SO02","SO02_13","SOLAR-COMPUTER, GBIS + Revit","SOLAR-COMPUTER, GBIS + Revit","Architecture",8,0,0
"SO02","SO02_14","MagiCAD + Revit","MagiCAD + Revit","Architecture",8,0,0
"SO02","SO02_15","MagiCAD + AutoCAD","MagiCAD + AutoCAD","Architecture",8,0,0
"SO02","SO02_16","MagiCAD + BricsCAD","MagiCAD + BricsCAD","Architecture",8,0,0
"SO02","SO02_17","Graphisoft DDScad","Graphisoft DDScad","Architecture",8,0,0
"SO02","SO02_18","Hottgenroth ETU","Hottgenroth ETU","Architecture",8,0,0
"SO02","SO02_19","mh-BIM","mh-BIM","Architecture",8,0,0
"SO02","SO02_01","Autodesk AutoCAD","Autodesk AutoCAD","MEP",15,6,40
"SO02","SO02_02","McNeel Rhinoceros 3D","McNeel Rhinoceros 3D","MEP",15,0,0
"SO02","SO02_03","Trimble SketchUp","Trimble SketchUp","MEP",15,0,0
"SO02","SO02_04","Autodesk Revit","Autodesk Revit","MEP",15,6,40
"SO02","SO02_05","Graphisoft ArchiCAD","Graphisoft ArchiCAD","MEP",15,0,0
"SO02","SO02_06","Nemetschek Allplan","Nemetschek Allplan","MEP",15,0,0
"SO02","SO02_07","Vectorworks","Vectorworks","MEP",15,0,0
"SO02","SO02_08","Trimble Nova (vorm. Plancal)","Trimble Nova (formerly Plancal)","MEP",15,1,6.66666666666667
"SO02","SO02_09","LINEAR + AutoCAD","LINEAR + AutoCAD","MEP",15,3,20
"SO02","SO02_10","LINEAR + Revit","LINEAR + Revit","MEP",15,8,53.3333333333333
"SO02","SO02_11","SOLAR-COMPUTER","SOLAR-COMPUTER","MEP",15,3,20
"SO02","SO02_12","SOLAR-COMPUTER, GBIS + AutoCAD","SOLAR-COMPUTER, GBIS + AutoCAD","MEP",15,0,0
"SO02","SO02_13","SOLAR-COMPUTER, GBIS + Revit","SOLAR-COMPUTER, GBIS + Revit","MEP",15,3,20
"SO02","SO02_14","MagiCAD + Revit","MagiCAD + Revit","MEP",15,0,0
"SO02","SO02_15","MagiCAD + AutoCAD","MagiCAD + AutoCAD","MEP",15,0,0
"SO02","SO02_16","MagiCAD + BricsCAD","MagiCAD + BricsCAD","MEP",15,0,0
"SO02","SO02_17","Graphisoft DDScad","Graphisoft DDScad","MEP",15,1,6.66666666666667
"SO02","SO02_18","Hottgenroth ETU","Hottgenroth ETU","MEP",15,0,0
"SO02","SO02_19","mh-BIM","mh-BIM","MEP",15,1,6.66666666666667
"SO03","SO03_01","E-Mail (mit Anhängen)","Email (with attachments)","Architecture",1,1,100
"SO03","SO03_02","Cloudspeicher (Dropbox, Nextcloud, WeTransfer etc.)","Cloud storage (Dropbox, Nextcloud, WeTransfer, etc.)","Architecture",1,0,0
"SO03","SO03_03","Autodesk Construction Cloud (vorm. BIM 360)","Autodesk Construction Cloud (formerly BIM 360)","Architecture",1,0,0
"SO03","SO03_04","Graphisoft BIMcloud","Graphisoft BIMcloud","Architecture",1,1,100
